site_nr	new_site_id	site_id	site_name	region	cluster	cluster_name	stratum	succession	moisture	fertility	utm_x	utm_y	nat_biodiv_pct	forest_500_km2	forest_1000_km2	forest_2000_km2	forest_5000_km2	intfield_500_km2	intfield_1000_km2	intfield_2000_km2	intfield_5000_km2	nat_500_km2	nat_1000_km2	nat_2000_km2	nat_5000_km2	natforest_500_km2	natforest_1000_km2	natforest_2000_km2	natforest_5000_km2	natpermgrass_500_km2	natpermgrass_1000_km2	natpermgrass_2000_km2	natpermgrass_5000_km2	temp_con	spatcon_500_pct	spatcon_1000_pct	spatcon_2000_pct	spatcon_5000_pct	uniqueness_weight	nat_index	precipitation_dmi	surfacewater_coverage	litter_mass	org_mat_ph	ph_min	org_mat	p_cores_org_mat	soil_class	veg_height_mean	bare_soil_mean	moss_cover_mean	lichen_cover_mean	deadwood_vol	deadwood_vol_ha	treedensity_40dbh_dec	treedensity_40dbh_con	trees_40dbh_basal_area	trees_40dbh_count	trees_40dbh_nospecies	trees_40dbh_shannon	trees_40dbh_shannon_evenness	uprooted_count	carcass_count	deer_badv3	hare_badv3	cow_badv3	sheep_badv3	horse_badv3	dung_pa	water_badv3	deadwood_badv3	anthill_badv3	boulder_badv3	flower_june	flower_june_vol	flower_aug	flower_aug_vol	flower_april	flower_april_vol	surfacetemp_max_all	surfacetemp_wq95_all	surfacetemp_sd_all	surfacetemp_wq90_day	airtemp_sd_all	airtemp_wq85_day	airtemp_min_night	airtemp_wq05_night	light_med_all	light_sd_all	light_wq10_day	light_wq15_day	vpd_wq85_all	vpd_wq90_all	vpd_sd_all	vpd_mean_day	surfacetemp_mean_diff	surfacetemp_10_90_day	airtemp_mean_diff	vpd_mean_diff	vpd_sd_diff	ellenberg_l	ellenberg_f	ellenberg_r	ellenberg_n	ellenberg_s	ellenberg_t	ellenberg_n_ph	grime_c	grime_r	grime_s	plant_1_nms	plant_2_nms	plant_3_nms	moss_rich	gastropod_rich	collembol_rich	moss_rich_rl	plant_rich_rl	moss_score_rl	lichen_score_rl.x	plant_score_rl	plant_rich	plant_rich_rl_dd	plant_score_rl_dd	bio_stratum	canopy_high_avg	canopy_high_perc	canopy_high_sd	canopy_low_avg	canopy_low_perc	canopy_low_sd	apoidea_indiv	apoidea_rich	apoidea_rich_rl	apoidea_rich_rl_dd	apoidea_score_rl	apoidea_score_rl_dd	araneae_indiv	araneae_rich	araneae_rich_rl	araneae_rich_rl_dd	araneae_score_rl	araneae_score_rl_dd	carabid_indiv	carabid_rich	carabid_rich_rl	carabid_rich_rl_dd	carabid_score_rl	carabid_score_rl_dd	cicadinea_indiv	cicadinea_rich	fungi_rich	fungi_rich_rl	fungi_rich_rl_dd	fungi_score_rl	fungi_score_rl_dd	heterop_indiv	heterop_rich	heterop_rich_rl	heterop_rich_rl_dd	heterop_score_rl	heterop_score_rl_dd	lepidop_indiv	lepidop_rich	lepidop_rich_rl	lepidop_rich_rl_dd	lepidop_score_rl	lepidop_score_rl_dd	lichen_rich	lichen_rich_rl	lichen_rich_rl_dd	lichen_score_rl.y	lichen_score_rl_dd	syrphidae_indiv	syrphidae_rich	syrphidae_rich_rl	syrphidae_rich_rl_dd	syrphidae_score_rl	syrphidae_score_rl_dd	trichop_indiv	trichop_rich	trichop_rich_rl	trichop_rich_rl_dd	trichop_score_rl	trichop_score_rl_dd	gall_rich	gall_rich_rl	gall_rich_rl_dd	gall_score_rl	gall_score_rl_dd	gall_syn_taxon	gall_herbivor_taxon	overall_rich	overall_rich_rl	zoo_rich	zoo_rich_rl	detrivores	flyers	herbivores	predators	fungi_decomposer_rich	fungi_symbiont_rich	link_fungi_pred	link_insect_pred	link_insect_sum	link_fungi_sum	plant_abund_sum	flower_vol_sum	dung_sum	soil_ph_sd	soil_ph_avg	leaf_n_avg	leaf_c_avg	leaf_p_avg	leaf_np_avg	soil_c_avg	soil_n_avg	soil_p_avg	sfi_avg	sfi_2_avg	leaf_n_sd	leaf_c_sd	leaf_p_sd	leaf_np_sd	soil_c_sd	soil_n_sd	soil_p_sd	sfi_sd	sfi_2_sd	Ca	sfi_3	soilm_avg_aug	soilm_avg_may	soilm_med_aug	soilm_med_may	soilm_sd_aug	soilm_sd_may	soilm_trimmean_aug	soilm_trimmean_may	soilm_var_aug	soilm_var_may	soilm_med_diff	smi	anthro
1	NV001	NV1	Raabjerg_Kirke	Njut	NV	Vendsyssel	EarlyDryPoor	Early	Dry	Poor	581439.69	6388139.47	60.11	0.099	0.2244	1.612	16.04	0.149	0.755618	1.409	10.6194	0.508308	2.08425	9.538	29.469	0.5683	2.2346	10.603	42.256	0.508308	2.10482	9.572	29.939	4	60	51.67	50	18.33	0.0657	0.761	765.5	0	217.29	0	5.269	0	0	Sand	8.062	4	35	17.5	0	0	0	0.00125	0	0	0	0	0	0	0	0.00318	3.27189	0	0	0.271	1	0	0	0	0	0.3219	1.67	7.82	54.7	2.1	4.2	46.337	38.163	10.759	35.971	4.035	17.407	0.5222	4.984	896	5984.305	125.6	232	0.828	0.967	0.3957	0.4761	11.908	0.236	4.564	0.3697	0.3061	6.997	4.806	3.895	2.488	0.204	5.296	0.639	3.316433566	1.365384615	7.318181818	-0.316142775778715	0.694635873353213	0.640473435156073	12	0	9	0	0	0	9	0	29	0	0	EarlyDryPoor	3.2007717450459805	3.4144344329834	0.1513762876063816	1.7616675205719778	2.764615058898929	0.800947956812375	4	3	0	0	0	0	45	22	1	1	1	1	46	8	2	2	2	2	78	15	39	1	4	4	7	16	14	0	0	0	0	7	4	0	0	0	0	26	6	7	11	12	4	4	0	0	0	0	9	2	0	0	0	0	6	0	0	0	0	6	6	193	10	87	3	17	24	40	37	25	14	640	1621	4226	1160	47	60.57	3.54607	0.3863827980988111	5.269025749288976	1.75	45.59	0.197947762	8.818184205545283	8195.764602135823	301.4210810810445	21.736536157966107	3.405010323752286	3.472138159683931	0.445795169706148	0.16206994374857703	0.007067368809741624	2.158993690594536	4500.455223895204	121.71987862850186	17.627807819342536	0.2543873332610871	0.3437347333769715	61	2.7141652639709744	4.975	9.91875	3.85	8.2	3.7497555475879576	5.930960433746516	4.783333333333333	9.475	14.060666666666664	35.176291666666664	4.35	4.8334427738797965	nat
2	NV002	NV2	Uggerby_Strand	Njut	NV	Vendsyssel	EarlyWetRich	Early	Wet	Rich	564449.3	6383379.45	34.66	0.28549	1.2595	4.587	10.622	0	0	0.6429	18.2177	0.16007	0.31553	1.03	4.939	0.4454	1.5711	5.549	15.184	0.16007	0.4139	1.19	5.401	1	8	2	1	0.5	0.0233	0.654	760.2	40	326.701	7.222	7.974	3.75	1	Sand	16	15	40	0	0	0	0.00125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18715	0	0	0	13.40612	26.8	7.52	18.2	1.72	4.88	32.086	27.468	6.204	25.902	3.359	16.439	5.5389	7.023	1024	4708.852	136	320	0.543	0.614	0.235	0.3281	6.892	0.377	3.631	0.2274	0.1687	6.242	7.807	6.175	4.707	0.59303	5.252	0.762	5.841379176	3.228022533	2.930598291	0.209081028055753	0.551458797689202	-1.03378004087534	22	5	7	1	0	1	0	0	68	0	0	EarlyWetRich	0	0	0	0.6539525185545828	1.07786917686462	0.255034791626055	4	2	0	0	0	0	93	18	0	0	0	0	0	0	0	0	0	0	36	12	32	1	2	3	4	11	8	0	0	0	0	6	4	0	0	0	0	6	0	1	0	1	87	13	0	0	0	0	144	15	2	2	3	3	13	0	0	0	0	13	13	225	4	97	0	22	45	41	25	11	21	1559	3575	8955	2420	107	49.879999999999995	0	0.2817417704057451	7.938694676521906	2.1550000000000002	43.5575	0.23079676475	9.509169464955253	88.50842002891842	26.224611236349375	16.573238420833924	3.623451693091645	3.7391722039181543	0.5773791359814335	0.7779192331684136	0.0725918719235318	1.184108847855696	102.85597685449133	50.73058990651666	2.443339426023503	0.5047175565486294	0.4972322844089539	1783	4.255764627887769	69.875	71.21875	75.1	76	10.605941730935543	8.858835043804199	71.425	71.98333333333333	112.48600000000002	78.47895833333332	0.9000000000000057	7.508239796297971	nat
3	NV003	NV3	Raabjerg_Mile	Njut	NV	Vendsyssel	EarlyWetPoor	Early	Wet	Poor	583804.52	6390025.19	70.45	0.13235	0.8014	3.093	12.463	0	0	0.6178	5.2793	0.689061	2.51035	8.809	32.549	0.7851	3.1238	11.332	42.324	0.689061	2.51035	8.985	33.204	2	20	13.33	4.33	0.83	6.34e-4	0.756	733.9	25	8.333	0	4.55	0	0	Sand	7.188	26.25	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.56087	63.1	23.1	46.2	0	0	30.054	22.908	4.656	21.32	2.85	15.443	4.9211	6.412	864	4707.286	152	261.6	0.38	0.431	0.1703	0.2218	5.283	0.463	3.164	0.1576	0.1016	5.907	8.689	4.968	2.896	0.22381	4.731	0.583	4.888510101	2.553661616	4.557828283	-0.416642415640652	1.02547052912397	-0.805415128391241	13	0	2	0	1	0	0	1	35	1	1	EarlyWetPoor	0	0	0	0	0	0	1	1	0	0	0	0	104	14	0	0	0	0	26	8	2	2	3	3	209	11	6	1	1	2	2	19	14	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	110	11	2	2	3	3	5	0	0	0	0	4	4	128	6	74	2	9	24	39	27	0	6	301	1534	5142	516	59	109.30000000000001	0	0.36606010435446246	4.550440120308007	2.04	44.945	0.1827048885	11.368849902624062	933.5037328934889	81.38632892170855	5.499074675050593	3.286342335630281	2.995743723759775	0.27820855486487117	1.937859644040301	0.024228395065946273	2.456799889864338	1292.5004475883686	62.67418308510176	10.692213674929326	0.18264061507777585	0.47145670681271484	53	2.6671700690866564	40.59375	68.46875	40.2	74.2	3.626654794710961	11.542369413022037	40.30833333333334	71.40833333333333	13.152625000000002	133.2262916666667	34	7.442152144695244	nat
4	NV004	NV4	Kjaersgaard	Njut	NV	Vendsyssel	Field	NA	NA	NA	555479.38	6375310.31	4.13	0.0055	0.3064	2.177	6.729	0.648	1.992477	5.5062	31.3029	0.051546	0.45831	2.526	16.533	0.057	0.7293	4.625	22.678	0.051546	0.54775	2.719	17.622	3	86.67	76.67	53.33	53.33	57.5	0.206	763.4	0	24.263	0	5.688	0	0	Sand	74.75	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00637	0.0127	0	0	0.15	0.301	31.472	22.463	4.7	20.72	3.706	16.725	4.1939	6.164	480	2255.353	61.9	136	0.492	0.591	0.2542	0.2819	4.855	0.424	3.953	0.2144	0.2155	6.38	4.889	6.49	6.207	0.20353	5.756	0.956	3.221969697	7.76969697	1.008333333	1.89429005831818	-0.470248683378725	-0.202365390664354	5	0	11	0	0	0	0	0	21	0	0	Agricultural	0	0	0	0	0	0	0	0	0	0	0	0	340	17	0	0	0	0	398	20	0	0	0	0	24	7	4	0	0	0	0	15	7	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	102	0	72	0	18	15	14	42	4	0	64	531	919	39	34	0.3137	0	0.6367888189973181	5.687829232967185	3.4325	45.5625	0.37572141425	9.12655043715159	820.7233916945156	270.50892565293225	54.04362635276547	4.950185969300037	5.026421071626678	0.4632044185166342	0.5911782021240842	0.04290954384935271	0.39480771187386304	826.9967092171087	74.59363859315123	6.183384723590297	0.33933693188821124	0.3275417324892022	689	5.040332856423203	12.8875	19.0125	12.55	17.05	1.9196787925761607	5.548678521353831	12.8	18.608333333333334	3.6851666666666665	30.787833333333335	4.5	5.222180683606304	agri
5	NV005	NV5	Vandplasken	Njut	NV	Vendsyssel	Hotspot	NA	NA	NA	552708.44	6375363.04	90.17	0	0.0584	0.351	6.325	0	0.009397	1.1432	16.8358	0.758146	2.57172	6.733	16.105	0.7581	2.6121	7.011	21.818	0.758617	2.58593	6.895	16.947	4	13.33	5.67	2	0.4	0.0233	0.737	763.4	15	31.463	0	7.746	0	0	Sand_clay	14.062	21.25	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08446	0	0	1	0	0	0	0	3.75589	10.6	0.608	1.72	51	263	29.252	24.641	5.257	23.004	3.494	16.487	3.985	6.177	576	3348.384	79.9	176	0.496	0.568	0.2339	0.3128	5.6	0.39	3.717	0.2127	0.1787	6.811	7.149	5.763	3.304	0.36269	4.938	0.573	3.549146612	2.068437447	6.382415941	0.200649271638663	0.722559294405105	-0.378991990738484	43	6	8	3	5	3	0	11	96	5	11	EarlyWetRich	0	0	0	0	0	0	2	1	0	0	0	0	87	20	0	0	0	0	7	3	2	2	4	4	16	9	85	9	12	17	20	5	5	0	0	0	0	15	5	0	0	0	0	11	0	1	0	1	4	3	0	0	0	0	68	12	0	0	0	0	6	0	0	0	0	6	6	313	19	78	2	18	30	28	26	41	41	731	3822	8208	1094	135	275.32000000000005	0.08446	0.26737925623852427	7.7458421783062406	2.4299999999999997	45.245000000000005	0.204096103	11.886919520686853	5603.031299575585	192.36734316142503	15.50941914573742	3.911006146364767	3.9491119911727868	0.3742548151549511	0.9488765286730744	0.023864978314863203	0.8843974483959094	2206.6052186272364	75.36957566726888	6.419990778272673	0.2552906514216285	0.2843578014435138	3995	4.698548054438647	73.13125	71.6	72.9	72.9	5.0479987783939375	3.4635242167480222	73.15	72.09166666666667	25.482291666666683	11.996	0	7.517927952041997	nat
6	NV006	NV6	Uggerby_Skovvej	Njut	NV	Vendsyssel	Ley	NA	NA	NA	564599.65	6382577.45	83.33	0.64821	2.2567	5.566	10.888	0	0.329508	2.027	23.7413	0	0.1992	1.048	5.656	0.6482	2.4527	6.523	16.127	0.095582	0.29916	1.213	6.144	2	14	5	2.33	1.33	4.98	0.526	760.2	0	47.052	0	5.676	0.625	0.25	Sand	9.625	3	5.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03832	0	0	0	1	0	0	0	0	52.03049	104	7.01	16.9	66.5	133	45.577	39.502	10.399	36.403	4.29	17.312	0.19	4.096	736	5441.04	97.7	168	0.578	0.646	0.2664	0.3316	11.142	0.241	5.229	0.2791	0.2124	6.738	4.486	5.563	4.019	0.21804	5.696	0.723	2.670910189	5.0929787	4.236111111	0.865225498208584	0.553492816851924	0.601528089816475	8	5	7	0	0	0	2	0	48	0	0	Agricultural	0	0	0	0	0	0	2	1	0	0	0	0	75	27	2	5	2	5	38	5	0	0	0	0	209	25	22	0	0	0	0	22	17	0	0	0	0	10	7	1	1	2	2	4	1	1	2	2	66	11	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	6	5	193	4	111	2	24	28	60	39	16	6	152	1255	4417	79	81	253.9	0.03832	0.4211125544530845	5.6768110674281544	1.97	44.83	0.373562142	5.276243873399027	8231.482053612077	334.79401729610225	39.67028926672135	4.023407661399448	4.147239082588646	0.15383974345619114	0.6434801214230856	0.01630463475429224	0.3851472462181633	2374.7883190427665	143.6287047753503	8.610423218321971	0.139641217677172	0.13359366738965453	374	3.9195958938249333	6.95	11.86875	7.25	12	1.9657059800488983	2.331728614854939	7.141666666666667	12.041666666666666	3.864	5.436958333333333	4.75	4.935271566030295	agri
7	NV007	NV7	Kjul_Strand	Njut	NV	Vendsyssel	MidMoistRich	Mid	Moist	Rich	563198.46	6383593.72	45.67	0.21506	0.8072	3.573	11.284	0	0	0.1139	14.7472	0.197921	0.73453	1.522	4.581	0.3993	1.4756	5.006	15.446	0.198614	0.78191	1.738	5.027	1	7	3	1	0.07	0.21	0.588	760.2	1	349.433	6.3	6.919	12.5	0.5	Sand	105	0.5	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0.00318	0	0	0	0	1	0	0	0	0	2.94075	5.88	0.31	2.51	0.00955	0.0191	27.567	21.473	4.351	20.052	3.527	16.764	4.6361	6.813	512	2105.215	66.8	136	0.431	0.536	0.2237	0.2334	4.792	0.448	3.913	0.2014	0.1944	5.596	7.518	6.158	5.01	0.47444	5.186	0.814	6.537175325	2.640827922	2.821996753	0.496137281011489	0.286384652429917	-0.772769038449708	18	9	15	0	0	0	0	0	67	0	0	EarlyWetRich	0	0	0	0.9326658888268898	1.61212730407715	0.4800924809041959	7	4	0	0	0	0	170	35	0	0	0	0	25	10	0	0	0	0	293	31	34	0	1	0	1	31	15	0	0	0	0	24	9	0	0	0	0	1	0	0	0	0	70	17	0	0	0	0	19	5	0	0	0	0	0	0	0	0	0	0	0	270	0	150	0	30	43	56	63	17	15	1671	3739	9330	2824	92	8.409099999999999	0.00318	0.4471319615289534	6.804052455627067	3.1725000000000003	45.6125	0.30467797025	10.538123973012787	3431.616685144198	132.93381438902904	14.52836032197132	4.318008650655509	4.274064827817	0.4512482686947396	0.47331279298155493	0.024657846683235243	2.3294560197816336	4181.0679461199	177.20832090270142	10.14767128588897	0.13900119427406496	0.2903649572646094	1893	5.057957493698399	45.60625	58.0875	42	55.2	17.869656543985393	9.643158196358701	46.3	58	319.324625	92.99050000000001	13.200000000000003	6.908011700873368	nat
8	NV008	NV8	Bunken	Njut	NV	Vendsyssel	MidWetPoor	Mid	Wet	Poor	583990.12	6389854.31	80.62	0.30577	1.2493	3.717	12.561	0	0	0.6013	5.4387	0.546696	2.08185	8.235	32.499	0.7851	3.1148	11.384	42.352	0.546696	2.08185	8.408	33.186	3	3.67	5	3	1	0.102	0.693	765.5	0	608.56	5.37	4.411	30	0.75	Sand	54.5	0	21.25	0	0	0	0.00125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75761	1.52	7.67	30.7	0	0	31.472	23.677	4.333	22.333	4.446	20.442	3.116	6.484	232	1204.726	24	57.75	0.547	0.667	0.3102	0.2964	3.733	0.529	4.456	0.2479	0.2714	6.546	8.624	5.148	3.379	0.24352	5.271	0.657	5.639583333	1.689583333	4.670833333	-0.55454296064131	0.634595285135078	-0.81351982865441	7	3	12	0	0	0	2	0	30	0	0	EarlyWetPoor	0	0	0	0.795559221698392	1.3069448471069292	0.3740316142246613	12	2	0	0	0	0	118	28	0	0	0	0	26	8	0	0	0	0	193	24	29	1	2	1	2	26	18	0	0	0	0	10	8	0	0	0	0	11	1	2	2	3	13	8	0	0	0	0	110	10	0	0	0	0	8	0	0	0	0	6	6	206	2	129	0	21	33	66	50	17	12	880	1661	7165	1822	50	32.22	0	0.5947767632453987	4.473798296904298	2.455	46.0575	0.1932984515	12.735312751053383	7469.8494568801325	245.31491184577436	31.100667837207826	3.692048433061538	3.8530949956765963	0.28337254630609504	0.6001874707122791	0.016470131489810528	1.4580186072180823	6137.669877640826	212.15383771902086	11.239062002730348	0.08581241356523334	0.07044281865139045	102	3.135863795566749	47.64375	60.09375	47.25	58.95	10.674578446009006	10.207674808691744	48.775	60.4	113.94662500000004	104.19662500000003	11.700000000000003	7.019374770983337	nat
9	NV009	NV9	Tversted_Plantage	Njut	NV	Vendsyssel	Plantation	NA	NA	NA	574170.34	6384472.73	88.65	0.73888	2.8087	6.491	14.009	0	0	0.9408	19.9485	0	0.19584	2.722	11.62	0.7389	2.9416	8.999	24.398	0	0.19584	2.725	11.93	3	23.33	23.33	11.33	2.33	2.33	0.563	772.1	0	557.2	4.08	4.657	70	1	Sand	0	3.25	90	0	0	0	0	0.057921	10.562	7	1	1.921	0	0	0	0	0	0	0	0	0	0	0.14904	0	0	0	0	0	0	0	0	27.173	20.457	4.219	19.482	3.111	15.172	4.35	6.255	128	1063.657	18.9	43	0.526	0.659	0.2661	0.2981	4.071	0.425	3.019	0.2097	0.1901	3.692	5.492	3.329	4	0	4.875	1.202	4.75	0	7.25	-1.07869174376074	-0.30824761746495	0.633920939384141	22	5	11	0	0	0	2	0	12	0	0	LateDryPoor	13.077694744841072	17.232271194458008	3.4390890837667265	1.8714042233896786	2.76971435546875	0.751985295510699	2	1	0	0	0	0	114	31	0	0	0	0	23	5	0	0	0	0	10	5	65	0	2	0	2	6	5	0	0	0	0	0	0	0	0	0	0	8	1	2	2	3	3	2	0	0	0	0	7	3	0	0	0	0	1	0	0	0	0	0	0	176	1	69	0	28	11	9	43	38	26	1520	1302	2783	4236	18	0	0	0.07441177345261418	4.189747103132229	1.55	45.08	0.32731742225	4.7802913374956155	1927.5879771315083	76.5741342274481	2.215778413211518	3.446694744657602	3.160115084575903	0.16145174717749786	0.48579831205964485	0.03336051296216633	0.8030063906934923	1793.0734468207563	77.62764093295866	2.7408764538015276	0.07169751813082603	0.1616187369150021	189.7952	3.3514814453255304	16.4875	21.86875	18.15	21	7.746988662269574	7.522829144233794	16.599999999999998	21.375	60.01583333333333	56.59295833333335	2.8500000000000014	5.354635622788238	silv
10	NT010	NT10	Kaellingdal	Njut	NT	Thy	EarlyDryRich	Early	Dry	Rich	479149.59	6330450.88	29.62	0.01609	0.1339	0.615	3.512	0.142	0.577035	3.0052	11.7386	0.279585	0.60243	1.279	12.64	0.2951	0.732	1.882	15.851	0.284572	0.61085	1.346	12.948	4	11.33	5.67	2.67	1.33	0.012	0.715	870.4	0	12.245	0	6.267	0	0	Sand_clay	13.938	0.5	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17195	0	0	0	1	0	0	0	0	1.63606	3.27	0.229	0.458	0.887	1.77	22.046	18.901	3.268	18.521	3.925	18.765	2.9028	6.427	248	624.601	30.5	66.25	0.352	0.44	0.2046	0.1745	3.52	0.564	4.27	0.1435	0.1742	6.698	5.021	5.895	3.585	0.35735	5.611	0.608	3.319155988	2.982581556	5.698262456	0.405193785852223	0.615925710493701	0.512729708122606	15	8	12	2	2	3	3	3	51	2	3	EarlyDryRich	0	0	0	0	0	0	3	1	0	0	0	0	149	34	0	0	0	0	12	4	0	0	0	0	61	20	41	11	12	21	22	8	7	0	0	0	0	11	9	0	0	0	0	2	1	1	3	3	1	1	0	0	0	0	18	6	0	0	0	0	2	0	0	0	0	2	2	213	16	104	0	34	20	43	54	13	27	181	1298	4071	340	85	5.498	0.17195	1.2328963189714428	6.266913763371997	1.8475	41.4125	0.14127926500000001	13.535866174234934	3728.7092454279327	248.3450158739365	19.14928946746377	3.3386030575736196	3.4208324632197664	0.24390913608691792	2.52081170789622	0.02771702108513647	3.7940335976511657	1591.3298252411546	50.97952092283528	10.561960552129797	0.27716245682479024	0.2421201551400255	2546	3.8678151022070004	19.05	23.41875	20.3	25.75	9.353787111824458	10.983880234234167	19.45	23.383333333333333	87.49333333333334	120.64562500000002	5.449999999999999	5.595603390372515	nat
11	NT011	NT11	Lild_Strand	Njut	NT	Thy	EarlyMoistPoor	Early	Moist	Poor	497046.4	6333482	75.22	0	0.4189	3.545	13.404	0	7.17e-4	0.0288	4.0383	0.691147	1.74977	3.755	19.156	0.6911	2.1573	7.147	31.583	0.691293	1.74995	3.789	19.618	4	13.33	5.33	2.67	2.33	0.00769	0.795	845	0	62.188	4.411	4.69	27.5	1	Sand	9.938	0	22.5	0.75	0	0	0	0	0	0	0	0	0	0	0	0.00637	0	0.04094	0	0	1	0	0	0	0	0.0906	0.219	3.33	6.66	0	0	46.337	32.394	7.985	30.154	4.904	20.126	-3.301	1.918	672	3771.726	78	192	0.718	0.849	0.3796	0.411	8.663	0.343	5.288	0.3361	0.3236	6.779	6.093	3.568	2.426	0.16282	5.575	0.68	3.120192308	1.129807692	7.75	-0.443890752602739	0.92965197047664	0.108894595037873	26	0	7	0	0	0	4	0	33	0	0	EarlyWetPoor	0	0	0	0	0	0	4	2	0	0	0	0	67	22	0	0	0	0	22	8	1	1	1	1	126	19	54	1	4	3	6	4	4	0	0	0	0	5	2	0	0	0	0	19	2	3	4	5	1	1	0	0	0	0	149	9	0	0	0	0	2	1	1	2	2	1	1	208	5	76	2	14	31	28	36	41	12	241	1279	4280	269	57	6.8790000000000004	0.04731	0.15597064303085248	4.574955550429642	2.05	45.1225	0.24585431125	8.513363445269006	5860.385797326752	187.00431953335124	8.53702216421261	3.5650646045310532	3.579234415139113	0.4255192905928786	0.8247979550572762	0.026071515461086145	2.384323044671323	1190.4347557845008	47.03949378824447	1.7782414348698359	0.13642605544071512	0.158088870683152	182	3.408083366116347	35.85	41.54375	35.5	44	21.325196364863796	14.288175472513394	36.125	41.708333333333336	454.76400000000007	204.15195833333334	8.5	6.342206406499555	nat
12	NT012	NT12	Raspkaer	Njut	NT	Thy	LateMoistPoor	Late	Moist	Poor	473347.36	6321636.52	99.58	0.78519	2.7234	5.531	21.575	0	0.028032	0.1486	7.9864	0	0.38171	5.394	27.421	0.7852	3.0958	10.82	48.293	0	0.38177	5.408	27.725	3	31.67	21.67	7.33	3	1.61	0.749	870.4	0	338.776	4.694	5.105	26.25	1	Sand	21.562	7	17.5	0	0.0665	0.0106	0	0.069345	0	0	0	0	0	3	0	0.20273	0.00318	0	0	0	1	0	0.00637	0	0	0.03832	0.0766	8.4	53.2	49.2	98.4	40.415	25.708	5.867	23.388	4.642	19.008	0.384	3.718	368	1597.225	47	107.55	0.563	0.741	0.3905	0.3416	6.21	0.437	4.8	0.2835	0.3558	6.603	6.366	2.768	2.103	0.04701	4.792	0.76	4.543650794	0.126984127	7.329365079	-1.012713459939	0.609734393333612	0.217552849149557	18	1	7	0	0	0	11	0	18	0	0	EarlyWetPoor	7.474923438982444	10.244211196899402	2.227670899050869	1.4782699732713296	2.6387236595153767	0.7920883070970872	6	5	0	0	0	0	67	26	0	0	0	0	20	8	0	0	0	0	65	15	75	1	6	2	7	11	6	0	0	0	0	5	4	0	0	0	0	15	6	7	11	12	14	9	2	2	4	4	78	11	0	0	0	0	1	0	0	0	0	1	1	219	9	93	2	15	42	31	44	38	33	1278	1753	5795	2839	36	151.6766	0.20590999999999998	0.21023125392843853	4.950256045566779	3.0225	46.5325	0.22155360125	13.754899242132463	1395.3840577710735	34.314990820596805	3.2723028268917713	3.834426114905839	3.655470485672545	0.28335784207723413	0.8728640596717592	0.025921296500340855	1.6884611731736794	1240.3716822140432	47.501050575030305	2.49956869121536	0.20686428798255432	0.17647438338781754	98	3.5130005900321084	29.31875	37.18125	28.8	39.3	8.482862626102897	10.787475376565178	29.133333333333333	37.625	71.95895833333334	116.36962500000003	10.499999999999996	6.206920324270396	nat
